image_id,domain,split,image_path
2005-06-26 14_04_52,A (Summer),train,trainA/2005-06-26 14_04_52.jpg
2005-08-02 09_19_52,A (Summer),train,trainA/2005-08-02 09_19_52.jpg
2005-08-10 13_03_58,A (Summer),train,trainA/2005-08-10 13_03_58.jpg
2005-09-01 10_05_22,A (Summer),train,trainA/2005-09-01 10_05_22.jpg
2006-02-26 17_07_52,A (Summer),train,trainA/2006-02-26 17_07_52.jpg
2006-03-14 21_56_17,A (Summer),train,trainA/2006-03-14 21_56_17.jpg
2006-03-20 23_39_46,A (Summer),train,trainA/2006-03-20 23_39_46.jpg
2006-04-11 11_21_20,B (Winter),test,testB/2006-04-11 11_21_20.jpg
2006-07-05 20_27_58,A (Summer),train,trainA/2006-07-05 20_27_58.jpg
2006-07-16 14_00_05,A (Summer),train,trainA/2006-07-16 14_00_05.jpg
2006-08-26 18_17_00,B (Winter),test,testB/2006-08-26 18_17_00.jpg
2006-09-26 21_50_33,A (Summer),train,trainA/2006-09-26 21_50_33.jpg
2006-12-24 08_44_26,A (Summer),train,trainA/2006-12-24 08_44_26.jpg
2007-01-15 20_05_43,A (Summer),train,trainA/2007-01-15 20_05_43.jpg
2007-01-23 19_32_24,A (Summer),train,trainA/2007-01-23 19_32_24.jpg
2007-01-27 00_13_15,A (Summer),train,trainA/2007-01-27 00_13_15.jpg
2007-02-28 14_15_05,A (Summer),train,trainA/2007-02-28 14_15_05.jpg
2007-03-06 10_22_16,A (Summer),train,trainA/2007-03-06 10_22_16.jpg
2007-03-16 21_52_46,A (Summer),train,trainA/2007-03-16 21_52_46.jpg
2007-04-05 00_31_04,A (Summer),train,trainA/2007-04-05 00_31_04.jpg
2007-04-30 20_41_22,A (Summer),train,trainA/2007-04-30 20_41_22.jpg
2007-05-02 01_07_01,B (Winter),test,testB/2007-05-02 01_07_01.jpg
2007-05-28 16_24_51,B (Winter),test,testB/2007-05-28 16_24_51.jpg
2007-06-06 03_56_19,A (Summer),train,trainA/2007-06-06 03_56_19.jpg
2007-06-21 18_15_16,A (Summer),train,trainA/2007-06-21 18_15_16.jpg
2007-06-24 08_14_31,B (Winter),test,testB/2007-06-24 08_14_31.jpg
2007-08-27 22_57_52,A (Summer),train,trainA/2007-08-27 22_57_52.jpg
2007-09-12 08_05_38,A (Summer),train,trainA/2007-09-12 08_05_38.jpg
2007-09-12 14_05_14,A (Summer),train,trainA/2007-09-12 14_05_14.jpg
2007-09-25 13_22_25,A (Summer),train,trainA/2007-09-25 13_22_25.jpg
2007-10-16 14_04_05,A (Summer),train,trainA/2007-10-16 14_04_05.jpg
2007-10-17 02_48_15,A (Summer),train,trainA/2007-10-17 02_48_15.jpg
2007-10-20 10_55_45,A (Summer),train,trainA/2007-10-20 10_55_45.jpg
2007-12-16 07_54_17,A (Summer),train,trainA/2007-12-16 07_54_17.jpg
2007-12-17 20_30_41,B (Winter),test,testB/2007-12-17 20_30_41.jpg
2008-01-08 20_39_08,A (Summer),train,trainA/2008-01-08 20_39_08.jpg
2008-01-19 07_55_07,A (Summer),train,trainA/2008-01-19 07_55_07.jpg
2008-01-19 08_51_37,A (Summer),train,trainA/2008-01-19 08_51_37.jpg
2008-01-27 10_47_04,A (Summer),train,trainA/2008-01-27 10_47_04.jpg
2008-01-27 17_47_34,A (Summer),train,trainA/2008-01-27 17_47_34.jpg
2008-01-28 14_23_10,B (Winter),test,testB/2008-01-28 14_23_10.jpg
2008-02-03 17_24_26,A (Summer),train,trainA/2008-02-03 17_24_26.jpg
2008-02-03 19_31_33,A (Summer),train,trainA/2008-02-03 19_31_33.jpg
2008-02-19 22_23_33,A (Summer),train,trainA/2008-02-19 22_23_33.jpg
2008-02-21 17_19_02,A (Summer),train,trainA/2008-02-21 17_19_02.jpg
2008-03-16 12_41_07,A (Summer),train,trainA/2008-03-16 12_41_07.jpg
2008-03-16 20_11_44,A (Summer),train,trainA/2008-03-16 20_11_44.jpg
2008-03-21 06_49_23,A (Summer),train,trainA/2008-03-21 06_49_23.jpg
2008-03-21 23_50_36,A (Summer),train,trainA/2008-03-21 23_50_36.jpg
2008-04-06 15_45_33,A (Summer),train,trainA/2008-04-06 15_45_33.jpg
2008-04-12 09_09_08,A (Summer),train,trainA/2008-04-12 09_09_08.jpg
2008-05-17 11_11_13,A (Summer),train,trainA/2008-05-17 11_11_13.jpg
2008-06-06 22_25_26,A (Summer),train,trainA/2008-06-06 22_25_26.jpg
2008-06-12 13_28_41,B (Winter),test,testB/2008-06-12 13_28_41.jpg
2008-06-23 19_37_41,B (Winter),test,testB/2008-06-23 19_37_41.jpg
2008-07-09 20_32_51,B (Winter),test,testB/2008-07-09 20_32_51.jpg
2008-07-16 07_44_17,A (Summer),train,trainA/2008-07-16 07_44_17.jpg
2008-07-17 22_56_47,A (Summer),train,trainA/2008-07-17 22_56_47.jpg
2008-07-23 03_40_07,A (Summer),train,trainA/2008-07-23 03_40_07.jpg
